"SubjectID","Angle","Base factor","Response Time","EstXCoor","EstYCoor","ExpXCoor","ExpYCoor","ExpAngle"
1,45,1,9203,1379,1398,1350.,1250.,90
1,45,1,9644,1366,1365,1350.,1250.,90
1,45,1,10790,1356,1402,1350.,1250.,90
1,45,1,17807,1347,1384,1350.,1250.,90
1,45,1,15313,1404,1312,1350.,1250.,90
1,45,1,12426,1374,1341,1350.,1250.,90
1,45,1,15080,1422,1355,1350.,1250.,90
1,45,1,13105,1372,1321,1350.,1250.,90
1,45,1,9957,1387,1284,1350.,1250.,90
1,45,1,10728,1372,1359,1350.,1250.,90
1,45,0.25,9413,1353,1985,1350.,1962.5,90
1,45,0.25,7472,1346,2022,1350.,1962.5,90
1,45,0.25,6409,1351,1978,1350.,1962.5,90
1,45,0.25,6377,1352,1994,1350.,1962.5,90
1,45,0.25,7498,1351,1972,1350.,1962.5,90
1,45,0.25,7249,1348,1981,1350.,1962.5,90
1,45,0.25,8089,1349,1965,1350.,1962.5,90
1,45,0.25,14433,1356,1977,1350.,1962.5,90
1,45,0.25,11885,1357,1987,1350.,1962.5,90
1,45,0.25,6215,1354,1968,1350.,1962.5,90
1,36,0.25,7545,1353,2053,1350.,2027.4461495987268,108
1,36,0.25,6458,1354,2050,1350.,2027.4461495987268,108
1,36,0.25,6153,1344,2036,1350.,2027.4461495987268,108
1,36,0.25,7069,1354,2022,1350.,2027.4461495987268,108
1,36,0.25,5422,1348,2031,1350.,2027.4461495987268,108
1,36,0.25,11388,1349,2036,1350.,2027.4461495987268,108
1,36,0.25,8395,1352,2021,1350.,2027.4461495987268,108
1,36,0.25,8736,1342,2024,1350.,2027.4461495987268,108
1,36,0.25,7703,1345,2038,1350.,2027.4461495987268,108
1,36,0.25,7610,1349,2041,1350.,2027.4461495987268,108
1,30,0.25,10117,1353,2087,1350.,2062.8793110674637,120
1,30,0.25,15559,1360,2063,1350.,2062.8793110674637,120
1,30,0.25,8820,1357,2069,1350.,2062.8793110674637,120
1,30,0.25,10745,1347,2093,1350.,2062.8793110674637,120
1,30,0.25,13625,1353,2069,1350.,2062.8793110674637,120
1,30,0.25,12077,1359,2059,1350.,2062.8793110674637,120
1,30,0.25,7029,1341,2082,1350.,2062.8793110674637,120
1,30,0.25,9861,1353,2068,1350.,2062.8793110674637,120
1,30,0.25,11209,1350,2070,1350.,2062.8793110674637,120
1,30,0.25,11691,1353,2073,1350.,2062.8793110674637,120
1,45,0.5,7585,1355,1787,1350.,1725.,90
1,45,0.5,8435,1356,1775,1350.,1725.,90
1,45,0.5,9182,1356,1770,1350.,1725.,90
1,45,0.5,6968,1350,1736,1350.,1725.,90
1,45,0.5,6873,1347,1741,1350.,1725.,90
1,45,0.5,13453,1365,1737,1350.,1725.,90
1,45,0.5,9220,1358,1734,1350.,1725.,90
1,45,0.5,11704,1348,1787,1350.,1725.,90
1,45,0.5,6375,1333,1784,1350.,1725.,90
1,45,0.5,13057,1356,1777,1350.,1725.,90
1,30,0.5,7851,1366,1969,1350.,1925.7586221349277,120
1,30,0.5,6551,1352,1958,1350.,1925.7586221349277,120
1,30,0.5,6040,1343,1950,1350.,1925.7586221349277,120
1,30,0.5,10680,1360,1912,1350.,1925.7586221349277,120
1,30,0.5,6837,1347,1927,1350.,1925.7586221349277,120
1,30,0.5,8955,1343,1949,1350.,1925.7586221349277,120
1,30,0.5,8925,1364,1924,1350.,1925.7586221349277,120
1,30,0.5,7875,1335,1951,1350.,1925.7586221349277,120
1,30,0.5,6263,1346,1966,1350.,1925.7586221349277,120
1,30,0.5,9053,1356,1950,1350.,1925.7586221349277,120
1,36,0.02,16118,1351,2185,1350.,2186.1956919678983,108
1,36,0.02,7892,1349,2182,1350.,2186.1956919678983,108
1,36,0.02,7601,1349,2182,1350.,2186.1956919678983,108
1,36,0.02,8056,1351,2186,1350.,2186.1956919678983,108
