"SubjectID","Angle","Base factor","Response Time","EstXCoor","EstYCoor","ExpXCoor","ExpYCoor","ExpAngle"
1,45,0.1,6142,650,842,650.,850.,90
1,45,0.1,6944,648,851,650.,850.,90
1,45,0.1,5440,649,853,650.,850.,90
1,45,0.1,5670,650,839,650.,850.,90
1,45,0.1,4535,649,818,650.,850.,90
1,45,0.1,4977,650,824,650.,850.,90
1,45,0.1,4255,648,836,650.,850.,90
1,45,0.1,4775,650,827,650.,850.,90
1,45,0.1,5655,652,843,650.,850.,90
1,45,0.1,6311,652,845,650.,850.,90
1,30,0.5,62694,643,748,650.,755.6624327025936,120
1,30,0.5,9319,648,772,650.,755.6624327025936,120
1,30,0.5,5175,655,786,650.,755.6624327025936,120
1,30,0.5,6599,653,760,650.,755.6624327025936,120
1,30,0.5,6672,664,759,650.,755.6624327025936,120
1,30,0.5,4624,660,753,650.,755.6624327025936,120
1,30,0.5,7398,664,730,650.,755.6624327025936,120
1,30,0.5,5831,661,752,650.,755.6624327025936,120
1,30,0.5,4815,655,748,650.,755.6624327025936,120
1,30,0.5,6560,653,761,650.,755.6624327025936,120
1,60,0.25,43511,651,728,650.,683.4936490538903,60
1,60,0.25,5775,649,692,650.,683.4936490538903,60
1,60,0.25,6726,642,634,650.,683.4936490538903,60
1,60,0.25,6822,649,672,650.,683.4936490538903,60
1,60,0.25,4023,639,614,650.,683.4936490538903,60
1,60,0.25,5231,652,652,650.,683.4936490538903,60
1,60,0.25,4512,644,628,650.,683.4936490538903,60
1,60,0.25,4510,646,666,650.,683.4936490538903,60
1,60,0.25,4864,641,691,650.,683.4936490538903,60
1,60,0.25,5278,648,688,650.,683.4936490538903,60
1,30,1,7712,634,634,650.,611.3248654051871,120
1,30,1,13941,662,645,650.,611.3248654051871,120
1,30,1,5464,651,692,650.,611.3248654051871,120
1,30,1,8008,653,649,650.,611.3248654051871,120
1,30,1,5726,660,667,650.,611.3248654051871,120
1,30,1,5384,650,556,650.,611.3248654051871,120
1,30,1,5223,646,621,650.,611.3248654051871,120
1,30,1,5983,665,550,650.,611.3248654051871,120
1,30,1,6045,655,591,650.,611.3248654051871,120
1,30,1,4742,660,607,650.,611.3248654051871,120
