"SubjectID","Angle","Base","Feature","SizeDirection","Manipulation","ExpectedAns","ResponseTime(ms)","GivenAnswer","Correct"
12,"36","0.4","angle","decrease","angle","bigger","20334","bigger",1
12,"36","0.4","vertex","decrease","distance","downward","9081","downward",1
12,"36","0.4","angle","increase","distance","same","26136","same",1
12,"36","0.4","angle","decrease","distance","same","16857","same",1
12,"36","0.4","vertex","increase","distance","upward","17494","upward",1
12,"36","0.4","angle","increase","angle","smaller","14874","smaller",1
12,"36","0.4","vertex","decrease","angle","downward","17339","downward",1
13,"36","0.4","angle","decrease","distance","same","12278","smaller",0
13,"36","0.4","angle","increase","angle","smaller","15592","bigger",0
13,"36","0.4","vertex","decrease","distance","downward","8557","downward",1
13,"36","0.4","vertex","increase","angle","upward","2871","upward",1
13,"36","0.4","vertex","increase","distance","upward","14090","upward",1
13,"36","0.4","angle","increase","distance","same","10599","bigger",0
13,"36","0.4","vertex","decrease","angle","downward","3572","downward",1
13,"36","0.4","angle","decrease","angle","bigger","2339","smaller",0
14,"36","0.4","vertex","decrease","angle","downward","18019","downward",1
14,"36","0.4","angle","decrease","distance","same","18806","bigger",0
14,"36","0.4","vertex","decrease","distance","downward","12929","downward",1
14,"36","0.4","vertex","increase","distance","upward","5192","upward",1
14,"36","0.4","angle","increase","distance","same","10973","same",1
14,"36","0.4","vertex","increase","angle","upward","9946","stayPlace",0
14,"36","0.4","angle","decrease","angle","bigger","4604","smaller",0
14,"36","0.4","angle","increase","angle","smaller","8609","bigger",0
15,"36","0.4","angle","increase","angle","smaller","7027","same",0
15,"36","0.4","vertex","increase","angle","upward","9878","upward",1
15,"36","0.4","angle","decrease","angle","bigger","5847","smaller",0
15,"36","0.4","angle","decrease","distance","same","6687","smaller",0
15,"36","0.4","vertex","decrease","angle","downward","5502","downward",1
15,"36","0.4","vertex","decrease","distance","downward","3184","downward",1
15,"36","0.4","vertex","increase","distance","upward","4646","upward",1
15,"36","0.4","angle","increase","distance","same","6655","same",1
16,"36","0.4","angle","increase","angle","smaller","14091","smaller",1
16,"36","0.4","vertex","increase","angle","upward","9638","upward",1
16,"36","0.4","angle","decrease","angle","bigger","10149","bigger",1
16,"36","0.4","angle","increase","distance","same","27014","bigger",0
16,"36","0.4","vertex","increase","distance","upward","8643","stayPlace",0
16,"36","0.4","vertex","decrease","distance","downward","13859","stayPlace",0
16,"36","0.4","vertex","decrease","angle","downward","18589","downward",1
16,"36","0.4","angle","decrease","distance","same","8925","smaller",0
17,"36","0.4","vertex","increase","distance","upward","12897","downward",0
17,"36","0.4","angle","increase","angle","smaller","20442","bigger",0
17,"36","0.4","angle","decrease","angle","bigger","9951","bigger",1
17,"36","0.4","vertex","decrease","distance","downward","7281","upward",0
17,"36","0.4","vertex","increase","angle","upward","24034","upward",1
17,"36","0.4","angle","increase","distance","same","11252","bigger",0
17,"36","0.4","vertex","decrease","angle","downward","6998","downward",1
17,"36","0.4","angle","decrease","distance","same","8614","smaller",0
18,"36","0.4","angle","increase","distance","same","37944","smaller",0
18,"36","0.4","angle","increase","angle","smaller","26071","smaller",1
18,"36","0.4","angle","decrease","distance","same","7958","bigger",0
18,"36","0.4","vertex","decrease","angle","downward","20203","downward",1
18,"36","0.4","angle","decrease","angle","bigger","9991","smaller",0
18,"36","0.4","vertex","increase","angle","upward","2712","upward",1
18,"36","0.4","vertex","increase","distance","upward","9711","upward",1
18,"36","0.4","vertex","decrease","distance","downward","17873","downward",1
19,"36","0.4","angle","increase","angle","smaller","30631","smaller",1
19,"36","0.4","angle","decrease","distance","same","12394","same",1
19,"36","0.4","angle","decrease","angle","bigger","5759","bigger",1
19,"36","0.4","vertex","increase","distance","upward","30180","upward",1
19,"36","0.4","vertex","decrease","distance","downward","12047","upward",0
19,"36","0.4","vertex","increase","angle","upward","10683","upward",1
19,"36","0.4","angle","increase","distance","same","10687","smaller",0
19,"36","0.4","vertex","decrease","angle","downward","9105","downward",1
20,"36","0.4","vertex","decrease","distance","downward","24466","downward",1
20,"36","0.4","vertex","decrease","angle","downward","11610","downward",1
